Family,Major_Control,Sub-part,Title,Description,conlow,conmed,conhigh,integlow,integmed,integhigh,availlow,availmed,availhigh
INCIDENT RESPONSE,IR-9,IR-9,INFORMATION SPILLAGE RESPONSE,The organization responds to information spills by:,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9,IR-9a,INFORMATION SPILLAGE RESPONSE,Identifying the specific information involved in the information system contamination;,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9,IR-9b,INFORMATION SPILLAGE RESPONSE,Alerting [Assignment: organization-defined personnel or roles] of the information spill using a method of communication not associated with the spill;,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9,IR-9c,INFORMATION SPILLAGE RESPONSE,Isolating the contaminated information system or system component;,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9,IR-9d,INFORMATION SPILLAGE RESPONSE,Eradicating the information from the contaminated information system or component;,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9,IR-9e,INFORMATION SPILLAGE RESPONSE,Identifying other information systems or system components that may have been subsequently contaminated; and,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9,IR-9f,INFORMATION SPILLAGE RESPONSE,Performing other [Assignment: organization-defined actions].,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9 (1),IR-9 (1),RESPONSIBLE PERSONNEL,The organization assigns [Assignment: organization-defined personnel or roles] with responsibility for responding to information spills.,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9 (2),IR-9 (2),TRAINING,The organization provides information spillage response training [Assignment: organization-defined frequency].,+,+,+,,,,,,
INCIDENT RESPONSE,IR-9 (3),IR-9 (3),POST-SPILL OPERATIONS,The organization implements [Assignment: organization-defined procedures] to ensure that organizational personnel impacted by information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions.,,,,,,,,+,+
INCIDENT RESPONSE,IR-9 (4),IR-9 (4),EXPOSURE TO UNAUTHORIZED PERSONNEL,The organization employs [Assignment: organization-defined security safeguards] for personnel exposed to information not within assigned access authorizations.,+,+,+,,,,,,
INCIDENT RESPONSE,IR-10,IR-10,INTEGRATED INFORMATION SECURITY ANALYSIS TEAM,"The organization establishes an integrated team of forensic/malicious code analysts, tool developers, and real-time operations personnel.",,+,+,,+,+,,+,+
MAINTENANCE,MA-1,MA-1,SYSTEM MAINTENANCE POLICY AND PROCEDURES,The organization:,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-1,MA-1a,SYSTEM MAINTENANCE POLICY AND PROCEDURES,"Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]:",X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-1,MA-1a.1,SYSTEM MAINTENANCE POLICY AND PROCEDURES,"A system maintenance policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-1,MA-1a.2,SYSTEM MAINTENANCE POLICY AND PROCEDURES,Procedures to facilitate the implementation of the system maintenance policy and associated system maintenance controls; and,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-1,MA-1b,SYSTEM MAINTENANCE POLICY AND PROCEDURES,Reviews and updates the current:,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-1,MA-1b.1,SYSTEM MAINTENANCE POLICY AND PROCEDURES,System maintenance policy [Assignment: organization-defined frequency]; and,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-1,MA-1b.2,SYSTEM MAINTENANCE POLICY AND PROCEDURES,System maintenance procedures [Assignment: organization-defined frequency].,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-2,MA-2,CONTROLLED MAINTENANCE,The organization:,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-2,MA-2a,CONTROLLED MAINTENANCE,"Schedules, performs, documents, and reviews records of maintenance and repairs on information system components in accordance with manufacturer or vendor specifications and/or organizational requirements;",X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-2,MA-2b,CONTROLLED MAINTENANCE,"Approves and monitors all maintenance activities, whether performed on site or remotely and whether the equipment is serviced on site or removed to another location;",X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-2,MA-2c,CONTROLLED MAINTENANCE,Requires that [Assignment: organization-defined personnel or roles] explicitly approve the removal of the information system or system components from organizational facilities for off-site maintenance or repairs;,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-2,MA-2d,CONTROLLED MAINTENANCE,Sanitizes equipment to remove all information from associated media prior to removal from organizational facilities for off-site maintenance or repairs;,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-2,MA-2e,CONTROLLED MAINTENANCE,Checks all potentially impacted security controls to verify that the controls are still functioning properly following maintenance or repair actions; and,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-2,MA-2f,CONTROLLED MAINTENANCE,Includes [Assignment: organization-defined maintenance-related information] in organizational maintenance records.,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-2 (1),MA-2 (1),RECORD CONTENT,[Withdrawn: Incorporated into MA-2].,,,,,,,,,
MAINTENANCE,MA-2 (2),MA-2 (2),AUTOMATED MAINTENANCE ACTIVITIES,The organization:,,,X,,,X,,,X
MAINTENANCE,MA-2 (2),MA-2 (2)(a),AUTOMATED MAINTENANCE ACTIVITIES,"Employs automated mechanisms to schedule, conduct, and document maintenance and repairs; and",,,X,,,X,,,X
MAINTENANCE,MA-2 (2),MA-2 (2)(b),AUTOMATED MAINTENANCE ACTIVITIES,"Produces up-to date, accurate, and complete records of all maintenance and repair actions requested, scheduled, in process, and completed.",,,X,,,X,,,X
MAINTENANCE,MA-3,MA-3,MAINTENANCE TOOLS,"The organization approves, controls, and monitors information system maintenance tools.",,,,+,X,X,,,
MAINTENANCE,MA-3 (1),MA-3 (1),INSPECT TOOLS,The organization inspects the maintenance tools carried into a facility by maintenance personnel for improper or unauthorized modifications.,,,,,X,X,,,
MAINTENANCE,MA-3 (2),MA-3 (2),INSPECT MEDIA,The organization checks media containing diagnostic and test programs for malicious code before the media are used in the information system.,,,,+,X,X,,,
MAINTENANCE,MA-3 (3),MA-3 (3),PREVENT UNAUTHORIZED REMOVAL,The organization prevents the unauthorized removal of maintenance equipment containing organizational information by:,+,+,X,,,,,,
MAINTENANCE,MA-3 (3),MA-3 (3)(a),PREVENT UNAUTHORIZED REMOVAL,Verifying that there is no organizational information contained on the equipment;,+,+,X,,,,,,
MAINTENANCE,MA-3 (3),MA-3 (3)(b),PREVENT UNAUTHORIZED REMOVAL,Sanitizing or destroying the equipment;,+,+,X,,,,,,
MAINTENANCE,MA-3 (3),MA-3 (3)(c),PREVENT UNAUTHORIZED REMOVAL,Retaining the equipment within the facility; or,+,+,X,,,,,,
MAINTENANCE,MA-3 (3),MA-3 (3)(d),PREVENT UNAUTHORIZED REMOVAL,Obtaining an exemption from [Assignment: organization-defined personnel or roles] explicitly authorizing removal of the equipment from the facility.,+,+,X,,,,,,
MAINTENANCE,MA-3 (4),MA-3 (4),RESTRICTED TOOL USE,The information system restricts the use of maintenance tools to authorized personnel only.,,,,,,,,,
MAINTENANCE,MA-4,MA-4,NONLOCAL MAINTENANCE,The organization:,,,,X,X,X,,,
MAINTENANCE,MA-4,MA-4a,NONLOCAL MAINTENANCE,Approves and monitors nonlocal maintenance and diagnostic activities;,,,,X,X,X,,,
MAINTENANCE,MA-4,MA-4b,NONLOCAL MAINTENANCE,Allows the use of nonlocal maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the information system;,,,,X,X,X,,,
MAINTENANCE,MA-4,MA-4c,NONLOCAL MAINTENANCE,Employs strong authenticators in the establishment of nonlocal maintenance and diagnostic sessions;,,,,X,X,X,,,
MAINTENANCE,MA-4,MA-4d,NONLOCAL MAINTENANCE,Maintains records for nonlocal maintenance and diagnostic activities; and,,,,X,X,X,,,
MAINTENANCE,MA-4,MA-4e,NONLOCAL MAINTENANCE,Terminates session and network connections when nonlocal maintenance is completed.,,,,X,X,X,,,
MAINTENANCE,MA-4 (1),MA-4 (1),AUDITING AND REVIEW,The organization:,,,,,+,+,,,
MAINTENANCE,MA-4 (1),MA-4 (1)(a),AUDITING AND REVIEW,Audits nonlocal maintenance and diagnostic sessions [Assignment: organization-defined audit events]; and,,,,,+,+,,,
MAINTENANCE,MA-4 (1),MA-4 (1)(b),AUDITING AND REVIEW,Reviews the records of the maintenance and diagnostic sessions.,,,,,+,+,,,
MAINTENANCE,MA-4 (2),MA-4 (2),DOCUMENT NONLOCAL MAINTENANCE,"The organization documents in the security plan for the information system, the policies and procedures for the establishment and use of nonlocal maintenance and diagnostic connections.",,,,,X,X,,,
MAINTENANCE,MA-4 (3),MA-4 (3),COMPARABLE SECURITY / SANITIZATION,The organization:,+,+,X,+,+,X,,,
MAINTENANCE,MA-4 (3),MA-4 (3)(a),COMPARABLE SECURITY / SANITIZATION,Requires that nonlocal maintenance and diagnostic services be performed from an information system that implements a security capability comparable to the capability implemented on the system being serviced; or,+,+,X,+,+,X,,,
MAINTENANCE,MA-4 (3),MA-4 (3)(b),COMPARABLE SECURITY / SANITIZATION,"Removes the component to be serviced from the information system prior to nonlocal maintenance or diagnostic services, sanitizes the component (with regard to organizational information) before removal from organizational facilities, and after the service is performed, inspects and sanitizes the component (with regard to potentially malicious software) before reconnecting the component to the information system.",+,+,X,+,+,X,,,
MAINTENANCE,MA-4 (4),MA-4 (4),AUTHENTICATION / SEPARATION OF MAINTENANCE SESSIONS,The organization protects nonlocal maintenance sessions by:,,,,,,,,,
MAINTENANCE,MA-4 (4),MA-4 (4)(a),AUTHENTICATION / SEPARATION OF MAINTENANCE SESSIONS,Employing [Assignment: organization-defined authenticators that are replay resistant]; and,,,,,,,,,
MAINTENANCE,MA-4 (4),MA-4 (4)(b),AUTHENTICATION / SEPARATION OF MAINTENANCE SESSIONS,Separating the maintenance sessions from other network sessions with the information system by either:,,,,,,,,,
MAINTENANCE,MA-4 (4),MA-4 (4)(b)(1),AUTHENTICATION / SEPARATION OF MAINTENANCE SESSIONS,Physically separated communications paths; or,,,,,,,,,
MAINTENANCE,MA-4 (4),MA-4 (4)(b)(2),AUTHENTICATION / SEPARATION OF MAINTENANCE SESSIONS,Logically separated communications paths based upon encryption.,,,,,,,,,
MAINTENANCE,MA-4 (5),MA-4 (5),APPROVALS AND NOTIFICATIONS,The organization:,,,,,,,,,
MAINTENANCE,MA-4 (5),MA-4 (5)(a),APPROVALS AND NOTIFICATIONS,Requires the approval of each nonlocal maintenance session by [Assignment: organization-defined personnel or roles]; and,,,,,,,,,
MAINTENANCE,MA-4 (5),MA-4 (5)(b),APPROVALS AND NOTIFICATIONS,Notifies [Assignment: organization-defined personnel or roles] of the date and time of planned nonlocal maintenance.,,,,,,,,,
MAINTENANCE,MA-4 (6),MA-4 (6),CRYPTOGRAPHIC PROTECTION,The information system implements cryptographic mechanisms to protect the integrity and confidentiality of nonlocal maintenance and diagnostic communications.,+,+,+,+,+,+,,,
MAINTENANCE,MA-4 (7),MA-4 (7),REMOTE DISCONNECT VERIFICATION,The information system implements remote disconnect verification at the termination of nonlocal maintenance and diagnostic sessions.,,,,+,+,+,,,
MAINTENANCE,MA-5,MA-5,MAINTENANCE PERSONNEL,The organization:,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-5,MA-5a,MAINTENANCE PERSONNEL,Establishes a process for maintenance personnel authorization and maintains a list of authorized maintenance organizations or personnel;,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-5,MA-5b,MAINTENANCE PERSONNEL,Ensures that non-escorted personnel performing maintenance on the information system have required access authorizations; and,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-5,MA-5c,MAINTENANCE PERSONNEL,Designates organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.,X,X,X,X,X,X,X,X,X
MAINTENANCE,MA-5 (1),MA-5 (1),INDIVIDUALS WITHOUT APPROPRIATE ACCESS,The organization:,,,X,,,X,,,X
MAINTENANCE,MA-5 (1),MA-5 (1)(a),INDIVIDUALS WITHOUT APPROPRIATE ACCESS,"Implements procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S. citizens, that include the following requirements:",,,X,,,X,,,X
MAINTENANCE,MA-5 (1),MA-5 (1)(a)(1),INDIVIDUALS WITHOUT APPROPRIATE ACCESS,"Maintenance personnel who do not have needed access authorizations, clearances, or formal access approvals are escorted and supervised during the performance of maintenance and diagnostic activities on the information system by approved organizational personnel who are fully cleared, have appropriate access authorizations, and are technically qualified;",,,X,,,X,,,X
MAINTENANCE,MA-5 (1),MA-5 (1)(a)(2),INDIVIDUALS WITHOUT APPROPRIATE ACCESS,"Prior to initiating maintenance or diagnostic activities by personnel who do not have needed access authorizations, clearances or formal access approvals, all volatile information storage components within the information system are sanitized and all nonvolatile storage media are removed or physically disconnected from the system and secured; and",,,X,,,X,,,X
MAINTENANCE,MA-5 (1),MA-5 (1)(b),INDIVIDUALS WITHOUT APPROPRIATE ACCESS,"Develops and implements alternate security safeguards in the event an information system component cannot be sanitized, removed, or disconnected from the system.",,,X,,,X,,,X
MAINTENANCE,MA-5 (2),MA-5 (2),SECURITY CLEARANCES FOR CLASSIFIED SYSTEMS,"The organization ensures that personnel performing maintenance and diagnostic activities on an information system processing, storing, or transmitting classified information possess security clearances and formal access approvals for at least the highest classification level and for all compartments of information on the system.",,,,,,,,,
MAINTENANCE,MA-5 (3),MA-5 (3),CITIZENSHIP REQUIREMENTS FOR CLASSIFIED SYSTEMS,"The organization ensures that personnel performing maintenance and diagnostic activities on an information system processing, storing, or transmitting classified information are U.S. citizens.",,,,,,,,,
MAINTENANCE,MA-5 (4),MA-5 (4),FOREIGN NATIONALS,The organization ensures that:,,,,,,,,,
MAINTENANCE,MA-5 (4),MA-5 (4)(a),FOREIGN NATIONALS,"Cleared foreign nationals (i.e., foreign nationals with appropriate security clearances), are used to conduct maintenance and diagnostic activities on classified information systems only when the systems are jointly owned and operated by the United States and foreign allied governments, or owned and operated solely by foreign allied governments; and",,,,,,,,,
MAINTENANCE,MA-5 (4),MA-5 (4)(b),FOREIGN NATIONALS,"Approvals, consents, and detailed operational conditions regarding the use of foreign nationals to conduct maintenance and diagnostic activities on classified information systems are fully documented within Memoranda of Agreements.",,,,,,,,,
MAINTENANCE,MA-5 (5),MA-5 (5),NONSYSTEM-RELATED MAINTENANCE,"The organization ensures that non-escorted personnel performing maintenance activities not directly associated with the information system but in the physical proximity of the system, have required access authorizations.",,,,,,,,,
MAINTENANCE,MA-6,MA-6,TIMELY MAINTENANCE,The organization obtains maintenance support and/or spare parts for [Assignment: organization-defined information system components] within [Assignment: organization-defined time period] of failure.,,,,,,,,X,X
MAINTENANCE,MA-6 (1),MA-6 (1),PREVENTIVE MAINTENANCE,The organization performs preventive maintenance on [Assignment: organization-defined information system components] at [Assignment: organization-defined time intervals].,,,,,,,,,
MAINTENANCE,MA-6 (2),MA-6 (2),PREDICTIVE MAINTENANCE,The organization performs predictive maintenance on [Assignment: organization-defined information system components] at [Assignment: organization-defined time intervals].,,,,,,,,,
MAINTENANCE,MA-6 (3),MA-6 (3),AUTOMATED SUPPORT FOR PREDICTIVE MAINTENANCE,The organization employs automated mechanisms to transfer predictive maintenance data to a computerized maintenance management system.,,,,,,,,,
MEDIA PROTECTION,MP-1,MP-1,MEDIA PROTECTION POLICY AND PROCEDURES,The organization:,X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-1,MP-1a,MEDIA PROTECTION POLICY AND PROCEDURES,"Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]:",X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-1,MP-1a.1,MEDIA PROTECTION POLICY AND PROCEDURES,"A media protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-1,MP-1a.2,MEDIA PROTECTION POLICY AND PROCEDURES,Procedures to facilitate the implementation of the media protection policy and associated media protection controls; and,X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-1,MP-1b,MEDIA PROTECTION POLICY AND PROCEDURES,Reviews and updates the current:,X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-1,MP-1b.1,MEDIA PROTECTION POLICY AND PROCEDURES,Media protection policy [Assignment: organization-defined frequency]; and,X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-1,MP-1b.2,MEDIA PROTECTION POLICY AND PROCEDURES,Media protection procedures [Assignment: organization-defined frequency].,X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-2,MP-2,MEDIA ACCESS,The organization restricts access to [Assignment: organization-defined types of digital and/or non-digital media] to [Assignment: organization-defined personnel or roles].,X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-2 (1),MP-2 (1),AUTOMATED RESTRICTED ACCESS,[Withdrawn: Incorporated into MP-4 (2)].,,,,,,,,,
MEDIA PROTECTION,MP-2 (2),MP-2 (2),CRYPTOGRAPHIC PROTECTION,[Withdrawn: Incorporated into SC-28 (1)].,,,,,,,,,
MEDIA PROTECTION,MP-3,MP-3,MEDIA MARKING,The organization:,,X,X,,,,,,
MEDIA PROTECTION,MP-3,MP-3a,MEDIA MARKING,"Marks information system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and",,X,X,,,,,,
MEDIA PROTECTION,MP-3,MP-3b,MEDIA MARKING,Exempts [Assignment: organization-defined types of information system media] from marking as long as the media remain within [Assignment: organization-defined controlled areas].,,X,X,,,,,,
MEDIA PROTECTION,MP-4,MP-4,MEDIA STORAGE,The organization:,,X,X,,X,X,,,
MEDIA PROTECTION,MP-4,MP-4a,MEDIA STORAGE,Physically controls and securely stores [Assignment: organization-defined types of digital and/or non-digital media] within [Assignment: organization-defined controlled areas]; and,,X,X,,X,X,,,
MEDIA PROTECTION,MP-4,MP-4b,MEDIA STORAGE,"Protects information system media until the media are destroyed or sanitized using approved equipment, techniques, and procedures.",,X,X,,X,X,,,
MEDIA PROTECTION,MP-4 (1),MP-4 (1),CRYPTOGRAPHIC PROTECTION,[Withdrawn: Incorporated into SC-28 (1)].,,,,,,,,,
MEDIA PROTECTION,MP-4 (2),MP-4 (2),AUTOMATED RESTRICTED ACCESS,The organization employs automated mechanisms to restrict access to media storage areas and to audit access attempts and access granted.,,,,,,,,,
MEDIA PROTECTION,MP-5,MP-5,MEDIA TRANSPORT,The organization:,,X,X,,X,X,,,
MEDIA PROTECTION,MP-5,MP-5a,MEDIA TRANSPORT,Protects and controls [Assignment: organization-defined types of information system media] during transport outside of controlled areas using [Assignment: organization-defined security safeguards];,,X,X,,X,X,,,
MEDIA PROTECTION,MP-5,MP-5b,MEDIA TRANSPORT,Maintains accountability for information system media during transport outside of controlled areas;,,X,X,,X,X,,,
MEDIA PROTECTION,MP-5,MP-5c,MEDIA TRANSPORT,Documents activities associated with the transport of information system media; and,,X,X,,X,X,,,
MEDIA PROTECTION,MP-5,MP-5d,MEDIA TRANSPORT,Restricts the activities associated with the transport of information system media to authorized personnel.,,X,X,,X,X,,,
MEDIA PROTECTION,MP-5 (1),MP-5 (1),PROTECTION OUTSIDE OF CONTROLLED AREAS,[Withdrawn: Incorporated into MP-5].,,,,,,,,,
MEDIA PROTECTION,MP-5 (2),MP-5 (2),DOCUMENTATION OF ACTIVITIES,[Withdrawn: Incorporated into MP-5].,,,,,,,,,
MEDIA PROTECTION,MP-5 (3),MP-5 (3),CUSTODIANS,The organization employs an identified custodian during transport of information system media outside of controlled areas.,,,,,,,,,
MEDIA PROTECTION,MP-5 (4),MP-5 (4),CRYPTOGRAPHIC PROTECTION,The information system implements cryptographic mechanisms to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.,,X,X,,X,X,,,
MEDIA PROTECTION,MP-6,MP-6,MEDIA SANITIZATION,The organization:,X,X,X,,,,,,
MEDIA PROTECTION,MP-6,MP-6a,MEDIA SANITIZATION,"Sanitizes [Assignment: organization-defined information system media] prior to disposal, release out of organizational control, or release for reuse using [Assignment: organization-defined sanitization techniques and procedures] in accordance with applicable federal and organizational standards and policies; and",X,X,X,,,,,,
MEDIA PROTECTION,MP-6,MP-6b,MEDIA SANITIZATION,Employs sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information.,X,X,X,,,,,,
MEDIA PROTECTION,MP-6 (1),MP-6 (1),REVIEW / APPROVE / TRACK / DOCUMENT / VERIFY,"The organization reviews, approves, tracks, documents, and verifies media sanitization and disposal actions.",,,X,,,,,,
MEDIA PROTECTION,MP-6 (2),MP-6 (2),EQUIPMENT TESTING,The organization tests sanitization equipment and procedures [Assignment: organization-defined frequency] to verify that the intended sanitization is being achieved.,,,X,,,,,,
MEDIA PROTECTION,MP-6 (3),MP-6 (3),NONDESTRUCTIVE TECHNIQUES,The organization applies nondestructive sanitization techniques to portable storage devices prior to connecting such devices to the information system under the following circumstances: [Assignment: organization-defined circumstances requiring sanitization of portable storage devices].,,,X,,,,,,
MEDIA PROTECTION,MP-6 (4),MP-6 (4),CONTROLLED UNCLASSIFIED INFORMATION,[Withdrawn: Incorporated into MP-6].,,,,,,,,,
MEDIA PROTECTION,MP-6 (5),MP-6 (5),CLASSIFIED INFORMATION,[Withdrawn: Incorporated into MP-6].,,,,,,,,,
MEDIA PROTECTION,MP-6 (6),MP-6 (6),MEDIA DESTRUCTION,[Withdrawn: Incorporated into MP-6].,,,,,,,,,
MEDIA PROTECTION,MP-6 (7),MP-6 (7),DUAL AUTHORIZATION,The organization enforces dual authorization for the sanitization of [Assignment: organization-defined information system media].,,,,,,,,,
MEDIA PROTECTION,MP-6 (8),MP-6 (8),REMOTE PURGING / WIPING OF INFORMATION,"The organization provides the capability to purge/wipe information from [Assignment: organization-defined information systems, system components, or devices] either remotely or under the following conditions: [Assignment: organization-defined conditions].",,,,,,,,,
MEDIA PROTECTION,MP-7,MP-7,MEDIA USE,The organization [Selection: restricts; prohibits] the use of [Assignment: organization-defined types of information system media] on [Assignment: organization-defined information systems or system components] using [Assignment: organization-defined security safeguards].,X,X,X,X,X,X,,,
MEDIA PROTECTION,MP-7 (1),MP-7 (1),PROHIBIT USE WITHOUT OWNER,The organization prohibits the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,,,,+,X,X,,,
MEDIA PROTECTION,MP-7 (2),MP-7 (2),PROHIBIT USE OF SANITIZATION-RESISTANT MEDIA,The organization prohibits the use of sanitization-resistant media in organizational information systems.,,,,,,,,,
MEDIA PROTECTION,MP-8,MP-8,MEDIA DOWNGRADING,The organization:,,,,,,,,,
MEDIA PROTECTION,MP-8,MP-8a,MEDIA DOWNGRADING,Establishes [Assignment: organization-defined information system media downgrading process] that includes employing downgrading mechanisms with [Assignment: organization-defined strength and integrity];,,,,,,,,,
MEDIA PROTECTION,MP-8,MP-8b,MEDIA DOWNGRADING,Ensures that the information system media downgrading process is commensurate with the security category and/or classification level of the information to be removed and the access authorizations of the potential recipients of the downgraded information;,,,,,,,,,
MEDIA PROTECTION,MP-8,MP-8c,MEDIA DOWNGRADING,Identifies [Assignment: organization-defined information system media requiring downgrading]; and,,,,,,,,,
MEDIA PROTECTION,MP-8,MP-8d,MEDIA DOWNGRADING,Downgrades the identified information system media using the established process.,,,,,,,,,
MEDIA PROTECTION,MP-8 (1),MP-8 (1),DOCUMENTATION OF PROCESS,The organization documents information system media downgrading actions.,,,,,,,,,
MEDIA PROTECTION,MP-8 (2),MP-8 (2),EQUIPMENT TESTING,The organization employs [Assignment: organization-defined tests] of downgrading equipment and procedures to verify correct performance [Assignment: organization-defined frequency].,,,,,,,,,
MEDIA PROTECTION,MP-8 (3),MP-8 (3),CONTROLLED UNCLASSIFIED INFORMATION,The organization downgrades information system media containing [Assignment: organization-defined Controlled Unclassified Information (CUI)] prior to public release in accordance with applicable federal and organizational standards and policies.,,,,,,,,,
MEDIA PROTECTION,MP-8 (4),MP-8 (4),CLASSIFIED INFORMATION,The organization downgrades information system media containing classified information prior to release to individuals without required access authorizations in accordance with NSA standards and policies.,,,,,,,,,
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,PE-1,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,The organization:,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,PE-1a,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,"Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]:",X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,PE-1a.1,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,"A physical and environmental protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,PE-1a.2,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,Procedures to facilitate the implementation of the physical and environmental protection policy and associated physical and environmental protection controls; and,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,PE-1b,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,Reviews and updates the current:,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,PE-1b.1,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,Physical and environmental protection  policy [Assignment: organization-defined frequency]; and,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,PE-1b.2,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,Physical and environmental protection procedures [Assignment: organization-defined frequency].,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2,PE-2,PHYSICAL ACCESS AUTHORIZATIONS,The organization:,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2,PE-2a,PHYSICAL ACCESS AUTHORIZATIONS,"Develops, approves, and maintains a list of individuals with authorized access to the facility where the information system resides;",X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2,PE-2b,PHYSICAL ACCESS AUTHORIZATIONS,Issues authorization credentials for facility access;,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2,PE-2c,PHYSICAL ACCESS AUTHORIZATIONS,Reviews the access list detailing authorized facility access by individuals [Assignment: organization-defined frequency]; and,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2,PE-2d,PHYSICAL ACCESS AUTHORIZATIONS,Removes individuals from the facility access list when access is no longer required.,X,X,X,X,X,X,X,X,X
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2 (1),PE-2 (1),ACCESS BY POSITION / ROLE,The organization authorizes physical access to the facility where the information system resides based on position or role.,,,,,,,,,
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2 (2),PE-2 (2),TWO FORMS OF IDENTIFICATION,The organization requires two forms of identification from [Assignment: organization-defined list of acceptable forms of identification] for visitor access to the facility where the information system resides.,,,,,,,,,
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2 (3),PE-2 (3),RESTRICT UNESCORTED ACCESS,The organization restricts unescorted access to the facility where the information system resides to personnel with [Selection (one or more): security clearances for all information contained within the system; formal access authorizations for all information contained within the system; need for access to all information contained within the system; [Assignment: organization-defined credentials]].,,,,,,,,,
PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-3,PE-3,PHYSICAL ACCESS CONTROL,The organization:,X,X,X,X,X,X,X,X,X
